Data Series,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
  1 - 4 Years,0.1,0.1,0.1,-,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.3,0.2,0.3,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.2
  5 - 9 Years,0.1,0.1,0.1,0.1,0.1,0.1,-,0.1,-,-,-,0.1,0.1,0.1,-,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.1
  10 - 14 Years,0.1,0.1,0.1,0.1,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2
  15 - 19 Years,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.3,0.2,0.3,0.3,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.2
  20 - 24 Years,0.1,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.4,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4
  25 - 29 Years,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.4,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.4
  30 - 34 Years,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.4,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.6,0.5,0.6
  35 - 39 Years,0.4,0.5,0.4,0.4,0.3,0.4,0.3,0.3,0.4,0.3,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.5,0.5,0.6,0.7,0.6,0.7,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.7,0.7,1
  40 - 44 Years,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.8,0.6,0.7,0.7,0.7,0.8,0.7,0.7,0.9,0.9,0.9,0.9,1,0.8,0.8,0.9,1,1,1,1.1,1.1,1.2,1.1,1.3,1.3,1.4,1.4
  45 - 49 Years,0.9,1,1.1,1,0.9,1,1.1,1.1,1.1,1.2,1.1,1.3,1.3,1.2,1.3,1.2,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.7,1.9,1.7,1.8,1.8,2,2.1,1.9,2.2,1.9,2.4
  50 - 54 Years,1.5,1.6,1.8,1.7,1.7,1.8,2,1.8,1.9,1.9,2,2,2.1,1.9,2.2,2.3,2.1,2.4,2.5,2.5,2.7,2.8,2.6,2.8,2.6,3.2,3.2,3.4,3.5,3.7,3.9,3.9,3.7,4.2
  55 - 59 Years,2.6,2.7,2.6,2.7,2.8,2.7,3,3,3.1,3.2,3,3.3,2.9,3.3,3.3,3.6,3.7,4,3.8,4.5,3.9,4.2,4.6,4.3,4.8,5.1,5.3,5.5,6.2,6.6,6.7,6.4,6.6,7.4
  60 - 64 Years,3.9,4.5,4.3,3.8,4.2,4.4,4.5,4.3,4.5,4.4,5.1,5.1,5.2,5.3,5,5.7,5.8,6.4,7,6.7,7.1,7.6,7.2,8.1,8.2,9.6,9.3,9.4,9.8,10.6,10.2,10.6,11,10.9
  65 - 69 Years,6.3,7,6.8,6.5,6.3,6.6,7,7,7.1,7.5,7.8,8.7,9,8.8,9.7,9.8,9.7,10.2,10.8,12,12.5,12.9,12.9,15.1,15,15.9,16.3,16.5,16.7,17,17.5,17.8,18,18.6
  70 - 74 Years,10.9,11.3,10.8,10.1,10.9,11.3,11.6,11.5,13.2,13.5,14.2,14.5,14.7,15.1,15.8,18.7,20.5,17.5,18.9,19.1,20.1,22.8,22.7,22.7,23.2,24.8,26.3,28.9,30.4,31.7,29.7,28,31.7,31.3
  75 - 79 Years,19.5,22.1,21.9,18.6,20.7,22.3,22.2,23.5,24.4,25.9,26.3,26.3,29,27.1,30,31.6,32.7,34.5,33.4,33.1,41.1,37.5,38,42.2,44.1,44.4,45.8,47.8,47.7,47.1,50.6,48.1,46.1,47.8
  80 - 84 Years,41,43.6,39.7,38.4,38.9,43.2,45.4,43.7,43.4,46.6,47.2,46.4,48.4,50.2,48.5,52.5,55.6,55.3,59.6,62.1,65.6,63.9,64,67.5,68.7,71.1,73,71.9,68,71,69.2,72.9,71,78.6
  85 Years & Over,120.6,122,109.1,96.2,100.8,102.7,103.4,100,108.2,108.8,109.1,108.3,109.4,112.5,112.7,112.7,115.4,116.3,118.8,114.5,125.2,121.8,125.3,132.1,133.8,128.3,121.3,128.3,133.8,118.1,129.4,127,125.2,129.4
